customer_id,first_name,last_name,email,country,created_at
1,Amina,Diallo,amina.diallo@example.com,France,2024-01-02
2,Karim,Benali,karim.benali@example.com,France,2024-01-05
3,Sarah,Martin,sarah.martin@example.com,Belgium,2024-01-08
4,Nadia,Traore,nadia.traore@example.com,France,2024-01-15
5,Lucas,Bernard,lucas.bernard@example.com,Switzerland,2024-01-20
6,Fatou,Ndiaye,fatou.ndiaye@example.com,France,2024-02-01
7,Mehdi,Ait,mehdi.ait@example.com,Morocco,2024-02-10
8,Claire,Dubois,claire.dubois@example.com,France,2024-02-18
9,Thomas,Petit,thomas.petit@example.com,Belgium,2024-02-25
10,Ines,Moreau,ines.moreau@example.com,France,2024-03-01
